AnyHomesField;AnyHomesType;AnyHomesPossibleValues;AnyHomesDescription;Priority;MoteurImmoField;MoteurImmoType;MoteurImmoExamples;MoteurImmoDescription;Action for Data field not existing in Anyhomes;Comments;Guidelines;Code traitement ;
propertyMonthlyCharges;Number;positive number or null;Charges mensuelles ou copropri√©t√©;utile;raw.propertyCharges;Number;null;Charges d√©clar√©es dans l‚Äôannonce;;Souvent absent mais utile pour la location.;;Réaliser le mapping;
propertyCharges;Number;positive number or null;Charges totales d√©clar√©es;utile;raw.propertyCharges;Number;null;Charges de l‚Äôannonce;;Similaire √† propertyMonthlyCharges.;;Réaliser le mapping;
guaranteeDeposit;Number;positive number or null;D√©p√¥t de garantie;utile;raw.guaranteeDeposit / raw.securityDeposit;Number;null;Montant du d√©p√¥t;;Ne figure pas dans les exemples actuels.;;Réaliser le mapping;
propertyInventory;Number;positive number or null;Inventaire locatif;optionnel;raw.propertyInventory;Number;null;Nombre inventaire;;Champ non observ√© dans les exemples.;;Réaliser le mapping;
type;Enum;apartment|castle|farm|building|house;Type de bien AnyHomes;critique;raw.propertyKind / raw.category / raw.subtype / raw.type;String;rental | sale;Cat√©gorie/type externe;;N√©cessite traduction vers les types AnyHomes.;;Réaliser le mapping;
propertyType;Enum;sale|rent|directory;Mode transactionnel;critique;raw.transactionType / raw.listingType / raw.adType / raw.offerType / raw.propertyType / raw.type;String;rental | sale;Type de transaction externe;;Doit √™tre normalis√© en sale/rent/directory.;;Réaliser le mapping;
status;Enum;active|inactive;Statut du bien;critique;raw.status / raw.publicationStatus / raw.type;String;active?deleted?;Statut de l‚Äôannonce source;;Valeurs exactes √† v√©rifier sur flux.;;Réaliser le mapping;
address;String;free text;Adresse textuelle;critique;raw.address / raw.location.address;String;15 rue de la Roquette;Adresse de l‚Äôannonce;;Fallback √† raw.location si absent.;;Réaliser le mapping;
zipcode;String;postal code;Code postal;critique;raw.postalCode / raw.zipcode / raw.location.postalCode;String;75011 | 75017;Code postal source;;Important pour recherche locale.;;Réaliser le mapping;
city;String;free text;Ville ou arrondissement;critique;raw.city / raw.town / raw.location.city / raw.location.town;String;"Paris 11e | ""Paris 17e""";Ville externe;;Ok.;;Réaliser le mapping;
country;String;free text;Pays;critique;raw.country / raw.location.country;String;France;Pays du bien;;Souvent par d√©faut France.;;Réaliser le mapping;
state;String;free text;R√©gion ou d√©partement;optionnel;raw.location.state / raw.region / raw.department;String;12;Code r√©gion/d√©partement;;Utilis√© pour filtres r√©gionaux.;;Réaliser le mapping;
newlocation;Object;GeoJSON Point;Coordonn√©es g√©ographiques;critique;raw.position / raw.coordinates / raw.location.coordinates / raw.latitude + raw.longitude;Array|Object;[2.37125,48.85431] | [2.33731,48.88017];Coordonn√©es source;;Requis pour recherche cartographique.;;Réaliser le mapping;
location;Object;{city,postalCode,country,...};Adresse structur√©e;utile;raw.location;Object;"{city:""Paris 11e"",postalCode:""75011"",coordinates:[2.3812,48.858]}";Objet localisation du flux;;Fallback important pour localisation.;;Réaliser le mapping;
images;Array;list of url strings;Photos du bien;critique;raw.pictureUrls / raw.pictureUrl / raw.images;Array|String;"[""https://...1.jpg"",""https://...2.jpg""]";Photos source;;Permet afficher la galerie.;;Réaliser le mapping;
email;String;free text;Email de contact;optionnel;raw.publisher.email / raw.contactEmail;String;hidden;Email du contact source;;Souvent masqu√© ou absent.;;Réaliser le mapping;
amenities;Array;list of ObjectId;Liste d‚Äô√©quipements;utile;raw.features / raw.equipements / raw.amenities;Array;"[""isFurnished"",""hasPublisherPhone""]";Caract√©ristiques source;;Doit √™tre normalis√© sur IDs amenities.;Il faut que tu construises une liste de l'ensemble des valeurs possibles de ces champs côté Moteurimmo sur la base des annonces déjà récupérées. Ensuite il faudra essayer de les matcher avec les ObjectID existant côté Anyhomes et le cas échéant créer ses objectID coté AnyHomes.;Investigation;
featured;Boolean;true|false;Mise en avant;optionnel;-;N/A;N/A;Non export√© par MoteurImmo;;D√©fini en interne AnyHomes.;;Réaliser le mapping;
agency;ObjectId;ObjectId;Agence propri√©taire;optionnel;raw.publisher / raw.agentId / raw.agencyId;Object|String;"{""type"":""individual""}";√âditeur ou agence source;;Peut servir de mapping vers agence locale.;;Réaliser le mapping;
like;Array;ObjectId list;Utilisateurs indiquant like;optionnel;-;N/A;N/A;Pas de mapping import direct;;Gestion interne front/back.;;Réaliser le mapping;
follow;Array;ObjectId list;Utilisateurs suivant le bien;optionnel;-;N/A;N/A;Pas de mapping import direct;;Gestion interne front/back.;;Réaliser le mapping;
categories;ObjectId;ObjectId;Cat√©gorie du bien;utile;raw.category / raw.subcategory;String;flat;Cat√©gorie source;;√Ä normaliser sur categories AnyHomes.;Il faut que tu construises une liste de l'ensemble des valeurs possibles de ces champs côté Moteurimmo sur la base des annonces déjà récupérées. Ensuite il faudra essayer de les matcher avec les ObjectID existant côté Anyhomes et le cas échéant créer ses objectID coté AnyHomes.;Investigation;
addedBy;ObjectId;ObjectId;Utilisateur propri√©taire du bien;critique;-;N/A;N/A;Assign√© c√¥t√© import;;Doit √™tre vrai user ou syst√®me importateur.;;Réaliser le mapping;
importBy;Enum;user|platform;Origine cr√©ation;utile;-;N/A;N/A;Source du processus;;Affecte affichage / propri√©t√©.;;Réaliser le mapping;
isDeleted;Boolean;true|false;Indicateur de suppression logique;critique;-;N/A;N/A;Flag interne;;Toujours false pour import actif.;;Réaliser le mapping;
offMarket;Boolean;true|false;Statut hors march√©;optionnel;;;;;;;;Réaliser le mapping;
chooseDocumentGrade;String;A|B|C|D|E|Any;Note de dossier interne;optionnel;-;N/A;N/A;Flag interne de qualit√© dossier;;Non fourni par MoteurImmo.;;Réaliser le mapping;
isChoosedDocumentVerified;Boolean;true|false;Document v√©rifi√©;optionnel;-;N/A;N/A;Flag interne;;Non fourni par MoteurImmo.;;Réaliser le mapping;
isChoosedDeclDocumentVerified;Boolean;true|false;D√©claration v√©rifi√©e;optionnel;-;N/A;N/A;Flag interne;;Non fourni par MoteurImmo.;;Réaliser le mapping;
maximumLead;String;free text;Quota maximum de leads;optionnel;-;N/A;N/A;Quota interne;;Non fourni par MoteurImmo.;;Réaliser le mapping;
cooking;Array;list of ObjectId;Types de cuisine;optionnel;raw.kitchenType / raw.cooking / raw.kitchenFeatures;Array|String;N/A;Equipement cuisine source;;Valeur potentielle, non observ√©e dans samples.;Il faut que tu construises une liste de l'ensemble des valeurs possibles de ces champs côté Moteurimmo sur la base des annonces déjà récupérées. Ensuite il faudra essayer de les matcher avec les ObjectID existant côté Anyhomes et le cas échéant créer ses objectID coté AnyHomes.;Investigation;
heatingType;ObjectId;ObjectId;Type de chauffage;utile;raw.heatingType / raw.heating;String;N/A;Chauffage source;;Peut √™tre mapp√© sur amenities.;Il faut que tu construises une liste de l'ensemble des valeurs possibles de ces champs côté Moteurimmo sur la base des annonces déjà récupérées. Ensuite il faudra essayer de les matcher avec les ObjectID existant côté Anyhomes et le cas échéant créer ses objectID coté AnyHomes.;Investigation;
energymode;ObjectId;ObjectId;Mode √©nerg√©tique;optionnel;raw.energyMode / raw.heatingMode;String;N/A;Mode √©nergie source;;Peut √™tre mapp√© sur amenities.;Il faut que tu construises une liste de l'ensemble des valeurs possibles de ces champs côté Moteurimmo sur la base des annonces déjà récupérées. Ensuite il faudra essayer de les matcher avec les ObjectID existant côté Anyhomes et le cas échéant créer ses objectID coté AnyHomes.;Investigation;
dateOfDiagnosis;String;ISO date or text;Date diagnostic;utile;raw.energyDiagnosisDate / raw.diagnosticDate;Date|String;17/06/2025;Date du diagnostic √©nerg√©tique;;Peut √™tre utilis√© si disponible.;;Réaliser le mapping;
diagnosisType;String;specific enum;Type de diagnostic;utile;raw.diagnosticType / raw.energyDiagnosisType;String;N/A;Type de diagnostic externe;;Non observ√© dans samples.;;Réaliser le mapping;
energyConsumption;String;String;Consommation √©nergie;utile;raw.energyConsumption / raw.dpeValue;String|Number;N/A;Valeur √©nerg√©tique source;;Exact mapping √† v√©rifier.;;Réaliser le mapping;
energy_efficient;String;A|B|C|D|E;Classe √©nergie;utile;raw.energyEfficiency / raw.eepClass;String;D | C | E;Classe √©nergie externe;;Peut √™tre mapp√© s/ energy_efficient.;;Réaliser le mapping;
emission_efficient;String;A|B|C|D|E;Classe √©missions;utile;raw.emissionEfficiency / raw.ghgClass;String;C | A | null;Classe √©missions externe;;Peut √™tre mapp√© si utile.;;Réaliser le mapping;
emissions;String;String;Valeur √©missions;utile;raw.emissions / raw.ghgValue;String|Number;N/A;Valeur √©missions externe;;Potentiel affichage environnemental.;;Réaliser le mapping;
diagnosisDate;String;Date string;Date du diagnostic;utile;raw.diagnosticDate / raw.energyDiagnosisDate;String;17/06/2025;Date du diagnostic;;Equivalent de dateOfDiagnosis.;;Réaliser le mapping;
contact;Boolean;true|false;Contact activ√©;optionnel;raw.contactAllowed / raw.contact;Boolean;N/A;Autorise contact via annonce;;Rare dans samples.;;Réaliser le mapping;
transparency;Boolean;true|false;Transparence du bien;optionnel;-;N/A;N/A;Flag interne;;Non fourni par MoteurImmo.;;Réaliser le mapping;
username;String;free text;Nom du contact;optionnel;raw.publisher.name;String;individual;Type/nom √©diteur;;Peut ne contenir qu‚Äôun type.;;Réaliser le mapping;
phoneNumber;String;phone number;T√©l√©phone du contact;optionnel;raw.publisher.phone;String;hidden;T√©l√©phone de l‚Äôannonceur;;Souvent masqu√©.;;Réaliser le mapping;
usedAs;String;investment|own usage;Usage du bien;optionnel;raw.usedAs / raw.useType;String;N/A;Usage d√©clar√©;;Non inclus dans samples.;;Réaliser le mapping;
propertyAgencyFees;Number;positive number;Frais d‚Äô agence;optionnel;raw.agencyFees / raw.serviceFees;Number;N/A;Frais agence externe;;Non inclus dans samples.;;Réaliser le mapping;
sale_my_property;Boolean;true|false;Flag vente auto;optionnel;-;N/A;N/A;Champ interne vendeur;;Non mapp√©.;;Réaliser le mapping;
real_estate_market;Boolean;true|false;Flag march√© immobilier;optionnel;-;N/A;N/A;Flag interne;;Non mapp√©.;;Réaliser le mapping;
add_more_step;Boolean;true|false;Flag √©tape cr√©ation;optionnel;-;N/A;N/A;Champ interne workflow;;Non mapp√©.;;Réaliser le mapping;
revenue_detail;Array;array of objects;D√©tails revenus;optionnel;raw.rentalRevenue / raw.revenueDetails;Array;N/A;Revenus locatifs externes;;Non observ√© mais potentiellement utile.;;Réaliser le mapping;
renovation_work;Array;array of objects;D√©tails travaux;optionnel;raw.renovationHistory / raw.renovationWork;Array;N/A;Travaux externes;;Non observ√© dans samples.;;Réaliser le mapping;
rating;Array;array of objects;Notes et avis;optionnel;raw.rating / raw.reviewScore;Array|Number;N/A;Notation externe;;Non observ√© dans samples.;;Réaliser le mapping;
Expenses;Array;array of objects;D√©penses d√©taill√©es;optionnel;raw.expenses / raw.costs;Array;N/A;D√©penses externes;;Non observ√© dans samples.;;Réaliser le mapping;
createdAt;Date;ISO date;Date de cr√©ation document;critique;-;N/A;N/A;Horodatage DB interne;;Peut √™tre diff√©rent de raw.creationDate.;;Réaliser le mapping;
updatedAt;Date;ISO date;Date de mise √† jour document;critique;-;N/A;N/A;Horodatage DB interne;;Peut √™tre ajust√© par les imports.;;Réaliser le mapping;
searchType;String;free text;Type de recherche interne;optionnel;-;N/A;N/A;Flag interne search;;Non mapp√©.;;Réaliser le mapping;
proposal;String;rental|purchase|both;Type de proposition;optionnel;;;;;;Peut √™tre utilis√© pour diriger l‚Äôoffre.;;Réaliser le mapping;
addedBy;ObjectId;ObjectId;Utilisateur auteur du bien;critique;-;N/A;N/A;Propri√©taire r√©el ou system importateur;;Important pour affichage profil.;;Réaliser le mapping;
favoriteCount;Number;integer;Nombre de favoris;optionnel;-;N/A;N/A;Champ non existant dans le mod√®le actuel;;Non inclus dans ce mod√®le.;;Réaliser le mapping;
source;String;free text;Source de l‚Äôannonce;optionnel;"raw.origin / ""moteurimmo""";String;topannonces | pap | etreproprio;Origine de flux;;Peut √™tre utilis√© pour UI source.;;Réaliser le mapping;
sourceId;String;free text;Identifiant externe stable;critique;raw.uniqueId / raw.unique_id / raw.id / raw.adId;String;6913982114f785c3841e65f1 | 460701680;ID unique de l‚Äôannonce;;N√©cessaire pour d√©duplication.;;Réaliser le mapping;
externalUrl;String;URL;URL de l‚Äôannonce externe;utile;raw.url;String;https://www.topannonces.fr/...;Lien source;;Bon pour redirection vers l‚Äôannonce.;;Réaliser le mapping;
reference;String;free text;R√©f√©rence de l‚Äôannonce;utile;raw.reference / raw.adId;String;wi176391499 | g07_1680;R√©f√©rence source;;√Ä afficher si besoin.;;Réaliser le mapping;
listingStatus;String;free text;Statut brut du flux;utile;raw.status / raw.publicationStatus / raw.type;String;rental | sale | active;Statut de l‚Äôannonce externe;;√Ä tracer pour debug de statut.;;Réaliser le mapping;
raw;Object;JSON object;Objet brut import√©;optionnel;raw;Object;{...};Payload complet du flux;;√Ä conserver pour audit.;;Réaliser le mapping;
lastSyncAt;Date;ISO date;Derni√®re synchronisation import;utile;-;N/A;N/A;Horodatage import interne;;Non issu de MoteurImmo raw.;;Réaliser le mapping;
externalListingId;ObjectId;ObjectId;Lien vers externalListing;utile;-;N/A;N/A;ID du document audit externe;;Non issu de raw.;;Réaliser le mapping;
ownerId;ObjectId;ObjectId;Propri√©taire r√©el sugg√©r√©;utile;-;N/A;N/A;Utilisateur propri√©taire;;√Ä ajouter si on veut dissocier import/souscription.;;Réaliser le mapping;
Inexistant;Number;positive number;Prix au m¬≤ source;optionnel;raw.pricePerSquareMeter;Number;30 | 11429 | 37;Prix au m¬≤ fourni par la source;Add to AnyHomes model, must be displayed in property profile;Peut remplacer pricePerSqm ou valider le calcul.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Array;list of strings;Flags et options du flux;optionnel;raw.options;Array;"[""isFurnished"",""hasPublisherPhone"",""knownPosition""]";Options de l‚Äôannonce;Ne pas ajouter;Utile pour labels images/feature tags.;;;
Inexistant;Object;object;Statistiques de prix source;optionnel;raw.priceStats;Object;"{""medianPrice"":11892,""priceGap"":-0.039}";M√©triques de prix g√©n√©r√©es;Add to AnyHomes model;Peut enrichir l‚Äôanalyse de prix.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Array;array of objects;Doublons trouv√©s par la source;optionnel;raw.duplicates;Array;"[{""origin"":""leboncoin"",""adId"":""3076126645""}]";Doublons du pipeline;Ne pas ajouter;Important pour le d√©doublonnage.;;;
Inexistant;Array;array of objects;Historique des modifications de l‚Äôannonce;optionnel;raw.history;Array;"[{""action"":""deletion"",""reason"":""ad deleted from origin""}]";Historique des changements;Add to AnyHomes model;Utile pour audit et debug.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Object;object;Annonceur ou √©diteur;optionnel;raw.publisher;Object;"{""type"":""individual""}";Infos sur l‚Äô√©diteur;Add to AnyHomes model;Peut indiquer particulier/pro.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Number|null;Number or null;Loyer distinct du price;optionnel;raw.rent;Number|null;null;Loyer si s√©par√© du prix;Add to AnyHomes model, peut etre utilisé pour indiquer le loyer;Pas toujours utilis√©.;;Faire en sorte que le champs prix de anyhomes soit al;
Inexistant;Number|null;Number or null;Surface terrain / jardin;optionnel;raw.landSurface;Number|null;null;Surface du terrain;Add to AnyHomes model, must be displayed in property profile;Pertinent pour maisons.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Date cr√©ation annonce source;optionnel;raw.creationDate;Date;2025-11-11T20:10:09.935Z;Date de cr√©ation originale;Add to AnyHomes model;Audit source.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Date publication annonce;optionnel;raw.publicationDate;Date;2025-11-11T20:02:00.000Z;Date de publication source;Add to AnyHomes model;Audit source.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Date de suppression source;optionnel;raw.deletionDate;Date;2025-11-12T22:48:02.721Z;Date de retrait;Add to AnyHomes model;Indique retrait/historique.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Derni√®re v√©rification flux;optionnel;raw.lastCheckDate;Date;2025-11-11T20:10:09.935Z;Horodatage de scrapping;Add to AnyHomes model;Pour surveillance de synchro.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Dernier √©v√©nement flux;optionnel;raw.lastEventDate;Date;2025-11-12T22:48:02.721Z;Dernier √©v√©nement remont√©;Add to AnyHomes model;Audit source.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Dernier changement annonce;optionnel;raw.lastChangeDate;Date;2025-11-12T22:48:02.721Z;Last change timestamp;Add to AnyHomes model;Audit source.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Derni√®re modification annonce;optionnel;raw.lastModificationDate;Date;2025-11-06T00:00:00.000Z;Derni√®re maj de contenu;Add to AnyHomes model;Audit source.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Derni√®re modification prix;optionnel;raw.lastPriceChangeDate;Date;2025-11-11T02:33:40.407Z;Date du dernier changement de prix;Add to AnyHomes model;Audit prix.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Date;ISO date;Derni√®re publication connue;optionnel;raw.lastPublicationDate;Date;2025-11-11T02:33:39.530Z;Date de derni√®re publication;Add to AnyHomes model;Audit source.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;Transaction type source;optionnel;raw.transactionType / raw.listingType / raw.adType / raw.offerType;String;rental | sale;Type de transaction source;Add to AnyHomes model;√Ä normaliser dans propertyType.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;Type d‚Äôannonceur;optionnel;raw.publisher.type;String;individual | professional;Type du publisher;Add to AnyHomes model;Peut aider √† distinguer pro/part.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;T√©l√©phone annonceur;optionnel;raw.publisher.phone;String;hidden;T√©l√©phone source;Add to AnyHomes model;Souvent masqu√©.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;Code INSEE ville;optionnel;raw.location.inseeCode;String;75056;Code INSEE source;Add to AnyHomes model;Utile pour g√©oloc sectorielle.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;Code d√©partement source;optionnel;raw.location.departmentCode;Number;75;D√©partement source;Add to AnyHomes model;Localisation administrative.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;Code r√©gion source;optionnel;raw.location.regionCode;Number;12;R√©gion source;Add to AnyHomes model;Localisation administrative.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;Classe √©nergie source;optionnel;raw.energyGrade;String;D | C | E;Classe √©nergie source;Add to AnyHomes model;Peut √™tre mapp√© sur energy_efficient.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Number;Number or null;Valeur √©nerg√©tique;optionnel;raw.energyValue;Number;286 | null;Consommation √©nerg√©tique;Add to AnyHomes model;Peut alimenter energyConsumption.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;String;free text;Classe gaz source;optionnel;raw.gasGrade;String;C | A | null;Classe gaz source;Add to AnyHomes model;Potentiel mapping sur gas data.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;Number;Number or null;Valeur gaz source;optionnel;raw.gasValue;Number;9 | null;Consommation gaz;Add to AnyHomes model;Potentiel Q.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;;;;;raw.offMarket / raw.status / raw.publicationStatus;Boolean|String;false | active;Indique si annonce est hors march√©;Add to AnyHomes model;Peut √™tre d√©riv√© des statuts.;;Ajouter le champs au modele de données AnyHomes;
Inexistant;;;;;raw.proposal / raw.offerType;String;N/A;Proposition source;Add to AnyHomes model;;;Ajouter le champs au modele de données AnyHomes;
